,Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Time of day,Status-Pickup,Request timestamp Hr,Supply,Demand
0,619,Airport,1.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 13:00:00,Morning,Trip Completed-Airport,11,1,1
1,867,Airport,1.0,Trip Completed,2016-07-11 17:57:00,2016-07-11 18:47:00,Evening,Trip Completed-Airport,17,1,1
2,1807,City,1.0,Trip Completed,2016-07-12 09:17:00,2016-07-12 09:58:00,Morning,Trip Completed-City,9,1,1
3,2532,Airport,1.0,Trip Completed,2016-07-12 21:08:00,2016-07-12 22:03:00,Night,Trip Completed-Airport,21,1,1
4,3112,City,1.0,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,Morning,Trip Completed-City,8,1,1
5,3879,Airport,1.0,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,Night,Trip Completed-Airport,21,1,1
6,4270,Airport,1.0,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,Early Morning,Trip Completed-Airport,6,1,1
7,5510,Airport,1.0,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,Early Morning,Trip Completed-Airport,5,1,1
8,6248,City,1.0,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,Evening,Trip Completed-City,17,1,1
9,267,City,2.0,Trip Completed,2016-07-11 06:46:00,2016-07-11 07:25:00,Early Morning,Trip Completed-City,6,1,1
10,1467,Airport,2.0,Trip Completed,2016-07-12 05:08:00,2016-07-12 06:02:00,Early Morning,Trip Completed-Airport,5,1,1
11,1983,City,2.0,Trip Completed,2016-07-12 12:30:00,2016-07-12 12:57:00,Noon,Trip Completed-City,12,1,1
12,2784,Airport,2.0,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,Early Morning,Trip Completed-Airport,4,1,1
13,3075,City,2.0,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,Morning,Trip Completed-City,8,1,1
14,3379,City,2.0,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,Noon,Trip Completed-City,14,1,1
15,3482,Airport,2.0,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,Evening,Trip Completed-Airport,17,1,1
16,4652,City,2.0,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,Noon,Trip Completed-City,12,1,1
17,5335,Airport,2.0,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,Night,Trip Completed-Airport,22,1,1
18,535,Airport,3.0,Trip Completed,2016-07-11 10:00:00,2016-07-11 10:31:00,Morning,Trip Completed-Airport,10,1,1
19,960,Airport,3.0,Trip Completed,2016-07-11 18:45:00,2016-07-11 19:23:00,Evening,Trip Completed-Airport,18,1,1
20,1934,Airport,3.0,Trip Completed,2016-07-12 11:17:00,2016-07-12 12:23:00,Morning,Trip Completed-Airport,11,1,1
21,2083,Airport,3.0,Trip Completed,2016-07-12 15:46:00,2016-07-12 16:40:00,Noon,Trip Completed-Airport,15,1,1
22,2211,Airport,3.0,Trip Completed,2016-07-12 18:00:00,2016-07-12 18:28:00,Evening,Trip Completed-Airport,18,1,1
23,3096,Airport,3.0,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37,Morning,Trip Completed-Airport,8,1,1
24,3881,Airport,3.0,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23,Night,Trip Completed-Airport,21,1,1
25,5254,City,3.0,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19,Night,Trip Completed-City,21,1,1
26,5434,City,3.0,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43,Midnight,Trip Completed-City,2,1,1
27,5916,City,3.0,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06,Morning,Trip Completed-City,10,1,1
28,669,City,4.0,Trip Completed,2016-07-11 13:08:00,2016-07-11 13:49:00,Noon,Trip Completed-City,13,1,1
29,1567,Airport,4.0,Trip Completed,2016-07-12 06:21:00,2016-07-12 07:10:00,Early Morning,Trip Completed-Airport,6,1,1
30,1826,City,4.0,Trip Completed,2016-07-12 09:27:00,2016-07-12 10:27:00,Morning,Trip Completed-City,9,1,1
31,2102,City,4.0,Trip Completed,2016-07-12 16:09:00,2016-07-12 17:01:00,Evening,Trip Completed-City,16,1,1
32,2847,Airport,4.0,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59,Early Morning,Trip Completed-Airport,5,1,1
33,3722,Airport,4.0,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04,Evening,Trip Completed-Airport,19,1,1
34,4075,City,4.0,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38,Midnight,Trip Completed-City,2,1,1
35,4686,City,4.0,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28,Noon,Trip Completed-City,13,1,1
36,5771,Airport,4.0,Trip Completed,2016-07-15 08:30:06,2016-07-15 09:37:20,Morning,Trip Completed-Airport,8,1,1
37,6106,Airport,4.0,Trip Completed,2016-07-15 15:01:20,2016-07-15 15:47:31,Noon,Trip Completed-Airport,15,1,1
38,312,City,5.0,Trip Completed,2016-07-11 07:27:00,2016-07-11 08:31:00,Morning,Trip Completed-City,7,1,1
39,577,Airport,5.0,Trip Completed,2016-07-11 11:03:00,2016-07-11 12:01:00,Morning,Trip Completed-Airport,11,1,1
40,1179,City,5.0,Trip Completed,2016-07-11 20:58:00,2016-07-11 21:45:00,Night,Trip Completed-City,20,1,1
41,1756,Airport,5.0,Trip Completed,2016-07-12 08:40:00,2016-07-12 09:23:00,Morning,Trip Completed-Airport,8,1,1
42,2052,City,5.0,Trip Completed,2016-07-12 14:48:00,2016-07-12 15:50:00,Noon,Trip Completed-City,14,1,1
43,2559,City,5.0,Trip Completed,2016-07-12 21:32:00,2016-07-12 22:29:00,Night,Trip Completed-City,21,1,1
44,3014,City,5.0,Trip Completed,2016-07-13 07:28:14,2016-07-13 08:29:47,Morning,Trip Completed-City,7,1,1
45,3317,City,5.0,Trip Completed,2016-07-13 12:14:27,2016-07-13 12:46:38,Noon,Trip Completed-City,12,1,1
46,4297,City,5.0,Trip Completed,2016-07-14 06:43:01,2016-07-14 07:49:38,Early Morning,Trip Completed-City,6,1,1
47,5857,Airport,5.0,Trip Completed,2016-07-15 09:08:50,2016-07-15 10:07:07,Morning,Trip Completed-Airport,9,1,1
48,6690,Airport,5.0,Trip Completed,2016-07-15 22:41:41,2016-07-15 23:51:00,Night,Trip Completed-Airport,22,1,1
49,1517,Airport,6.0,Trip Completed,2016-07-12 05:45:00,2016-07-12 06:28:00,Early Morning,Trip Completed-Airport,5,1,1
50,1999,Airport,6.0,Trip Completed,2016-07-12 13:02:00,2016-07-12 13:51:00,Noon,Trip Completed-Airport,13,1,1
51,2960,Airport,6.0,Trip Completed,2016-07-13 06:50:33,2016-07-13 07:40:35,Early Morning,Trip Completed-Airport,6,1,1
52,3882,City,6.0,Trip Completed,2016-07-13 21:53:03,2016-07-13 22:45:24,Night,Trip Completed-City,21,1,1
53,4081,Airport,6.0,Trip Completed,2016-07-14 02:37:14,2016-07-14 03:30:27,Midnight,Trip Completed-Airport,2,1,1
54,4740,City,6.0,Trip Completed,2016-07-14 14:50:07,2016-07-14 15:38:14,Noon,Trip Completed-City,14,1,1
55,5270,City,6.0,Trip Completed,2016-07-14 21:33:55,2016-07-14 22:25:43,Night,Trip Completed-City,21,1,1
56,6758,Airport,6.0,Trip Completed,2016-07-15 00:03:39,2016-07-15 01:07:39,Midnight,Trip Completed-Airport,0,1,1
57,5741,City,6.0,Trip Completed,2016-07-15 07:52:51,2016-07-15 08:38:55,Morning,Trip Completed-City,7,1,1
58,6087,Airport,6.0,Trip Completed,2016-07-15 14:28:50,2016-07-15 15:33:53,Noon,Trip Completed-Airport,14,1,1
59,1039,City,7.0,Trip Completed,2016-07-11 19:31:00,2016-07-11 20:41:00,Evening,Trip Completed-City,19,1,1
60,1273,Airport,7.0,Trip Completed,2016-07-11 22:07:00,2016-07-11 23:12:00,Night,Trip Completed-Airport,22,1,1
61,2480,City,7.0,Trip Completed,2016-07-12 20:39:00,2016-07-12 21:28:00,Night,Trip Completed-City,20,1,1
62,4105,City,7.0,Trip Completed,2016-07-14 03:39:38,2016-07-14 04:39:04,Midnight,Trip Completed-City,3,1,1
63,4509,City,7.0,Trip Completed,2016-07-14 09:11:13,2016-07-14 10:17:01,Morning,Trip Completed-City,9,1,1
64,4986,Airport,7.0,Trip Completed,2016-07-14 18:52:32,2016-07-14 19:50:57,Evening,Trip Completed-Airport,18,1,1
65,5898,City,7.0,Trip Completed,2016-07-15 09:50:28,2016-07-15 10:40:39,Morning,Trip Completed-City,9,1,1
66,6142,Airport,7.0,Trip Completed,2016-07-15 15:50:15,2016-07-15 16:36:56,Noon,Trip Completed-Airport,15,1,1
67,380,Airport,8.0,Trip Completed,2016-07-11 08:18:00,2016-07-11 09:18:00,Morning,Trip Completed-Airport,8,1,1
68,1050,Airport,8.0,Trip Completed,2016-07-11 19:39:00,2016-07-11 20:30:00,Evening,Trip Completed-Airport,19,1,1
69,1769,City,8.0,Trip Completed,2016-07-12 08:57:00,2016-07-12 09:24:00,Morning,Trip Completed-City,8,1,1
70,2520,City,8.0,Trip Completed,2016-07-12 21:05:00,2016-07-12 22:20:00,Night,Trip Completed-City,21,1,1
71,3265,Airport,8.0,Trip Completed,2016-07-13 10:22:07,2016-07-13 11:07:02,Morning,Trip Completed-Airport,10,1,1
